Table S1. Detailed library-level information for samples passing through screening process.;;;;;;;;;;;;;;;;;;;;;;;;;
Library ID;Lab Indiv. ID;Skeletal codes;UDG;Skeletal element;Date (BCE/CE);Culture;Location;Country;Extraction protocol (see key below);Library preparation (see key below);Equivalent mg bone powder used for library preparation ;Shotgun raw sequences;Shotgun fraction raw sequences mapping to hg19;mtDNA sequences in alignment;mtDNA sequences aligning to target;Aligned mtDNA sequences remaining after deduping;mtDNA coverage;mtDNA median read length;mtDNA fraction damaged in last base;mtDNA haplogroup;mtDNA match fraction;mtDNA match fraction   95% CI;Perform 1240k capture?;1240k captured in pool? (number of libraries in pool);Used in analyses?
S0626.E1.L1;I0626;VN33, 0.7.MB.H1.M10;partial;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;26,3;783749;0,0042;942188;95311;3754;7,96;35;0,303;R;..;..;Yes;No;Yes
S7241.E1.L1;I0626;VN33, 0.7.MB.H1.M10;partial;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;8,3;397903;0,0112;1000352;6605;2403;4,8;33;0,324;B5;0,949;[0.899,0.977];Yes;No;Yes
S0626.E1.L2;I0626;VN33, 0.7.MB.H1.M10;minus;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;13,2;3316700;0,0014;662593;1943;1288;2,87;37;0,614;H2a2a;0,801;[0.554,0.930];Yes;Yes (4);No^
S0626.E1.L3;I0626;VN33, 0.7.MB.H1.M10;minus;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;13,2;3316700;0,0011;584222;1648;1088;2,47;38;0,66;H2a2a1;0,502;[0.349,0.659];Yes;Yes (4);No^
S0626.E1.L4;I0626;VN33, 0.7.MB.H1.M10;minus;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;13,2;3316700;0,0013;723124;1865;1200;2,71;38;0,658;H40a;0,684;[0.441,0.827];Yes;Yes (4);No^
S0626.E1.L5;I0626;VN33, 0.7.MB.H1.M10;minus;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;13,2;3316700;0,0013;615806;2016;1041;2,37;38;0,667;H2a2a;0,664;[0.508,0.785];Yes;Yes (4);No^
S2728.E1.L1;I0626;VN33, 0.7.MB.H1.M10;minus;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;18,0;337118;0,0604;1215302;3825;859;1,68;33;0,601;..;..;..;Yes;No;No
S0626.E2.L1;I0626;VN33, 0.7.MB.H1.M10;partial;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;*;3;7,0;216729;0,0018;415311;315;91;0,199;36;0,379;..;..;..;No;;No
S0626.E2.L2;I0626;VN33, 0.7.MB.H1.M10;partial;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;*;3;21,0;380583;0,0026;744947;603;50;0,108;35;0,317;..;..;..;No;;No
S0626.E3.L1;I0626;VN33, 0.7.MB.H1.M10;partial;petrous;1900-1600 BCE;Vietnam_Neolithic;Man Bac;Vietnam;*;3;5,0;98105;0,0015;399406;601;125;0,266;35;0,266;..;..;..;No;;No
